,date,open,high,low,close,volume
0,2017-08-24,100.126,100.126,92.0,99.401,278244
1,2017-08-25,99.487,99.838,99.001,99.801,288910
2,2017-08-28,99.817,99.988,99.79,99.988,272560
3,2017-08-29,99.98,99.98,99.753,99.83,53080
4,2017-08-30,99.783,99.9,99.735,99.877,41070
5,2017-08-31,98.853,100.0,98.853,100.0,111530
6,2017-09-01,99.815,99.99,99.815,99.861,26680
7,2017-09-04,99.867,99.988,99.867,99.878,18510
8,2017-09-05,99.277,99.889,99.277,99.87,4660
9,2017-09-06,99.849,100.0,99.83,99.871,82620
10,2017-09-07,99.71,99.999,99.71,99.822,42610
11,2017-09-08,99.751,99.99,99.751,99.961,36590
12,2017-09-11,99.97,100.01,99.816,99.86,86210
13,2017-09-12,99.951,100.03,99.951,99.962,23670
14,2017-09-13,99.935,100.038,99.935,99.995,19890
15,2017-09-14,99.408,100.069,99.408,100.009,34730
16,2017-09-15,99.73,100.198,99.73,100.195,17090
17,2017-09-18,100.041,100.298,100.041,100.276,68024
18,2017-09-19,100.03,100.276,100.03,100.121,21200
19,2017-09-20,100.124,100.32,100.124,100.23,71710
20,2017-09-21,100.119,100.35,100.119,100.28,51554
21,2017-09-22,100.103,100.51,100.103,100.454,142110
22,2017-09-25,100.126,100.6,100.126,100.546,110850
23,2017-09-26,100.2,100.501,100.2,100.34,236340
24,2017-09-27,100.207,100.413,100.206,100.315,100980
25,2017-09-28,100.318,100.445,100.318,100.415,93260
26,2017-09-29,100.2,100.2,99.921,100.01,35510
27,2017-10-09,100.2,100.2,100.111,100.136,101970
28,2017-10-10,100.133,100.2,100.133,100.2,59780
29,2017-10-11,100.167,100.172,98.001,99.994,35710
30,2017-10-12,99.997,100.12,99.007,99.99,75690
31,2017-10-13,99.99,100.168,99.664,99.914,93260
32,2017-10-16,99.911,99.911,99.502,99.901,184910
33,2017-10-17,99.898,99.898,99.564,99.601,106420
34,2017-10-18,99.604,99.998,99.6,99.65,37270
35,2017-10-19,99.653,99.836,99.6,99.836,115610
36,2017-10-20,99.833,99.833,99.522,99.741,83410
37,2017-10-23,99.629,99.856,99.629,99.7,120740
38,2017-10-24,99.55,99.68,99.55,99.668,104550
39,2017-10-25,99.551,99.7,99.5,99.66,39030
40,2017-10-26,99.5,99.608,99.408,99.608,130260
41,2017-10-27,99.308,99.7,99.308,99.6,134820
42,2017-10-30,99.597,99.6,98.64,99.4,19140
43,2017-10-31,99.4,99.65,99.1,99.386,101710
44,2017-11-01,99.389,99.4,99.156,99.4,107080
45,2017-11-02,99.203,99.3,99.203,99.3,118310
46,2017-11-03,99.2,99.298,99.2,99.2,66420
47,2017-11-06,99.2,99.215,99.2,99.214,96140
48,2017-11-07,99.214,99.215,99.214,99.215,208620
49,2017-11-08,99.1,99.215,99.001,99.2,51840
50,2017-11-09,99.01,99.1,98.5,99.098,107690
51,2017-11-10,99.095,99.095,98.58,98.676,117330
52,2017-11-13,98.9,98.9,98.504,98.7,152010
53,2017-11-14,98.7,98.98,98.502,98.98,86500
54,2017-11-15,98.977,98.977,97.922,98.288,13830
55,2017-11-16,98.288,98.398,98.0,98.0,380820
56,2017-11-17,98.01,98.19,98.01,98.183,49960
57,2017-11-20,98.998,98.998,98.2,98.213,136600
58,2017-11-21,98.213,98.359,98.213,98.231,137920
59,2017-11-22,98.234,99.5,98.039,98.048,54440
60,2017-11-23,98.051,98.999,97.964,98.88,27200
61,2017-11-24,98.88,99.997,98.059,98.2,53920
62,2017-11-27,98.197,98.871,98.15,98.697,131330
63,2017-11-28,98.697,98.697,98.1,98.1,100260
64,2017-11-29,97.834,98.001,97.1,97.451,87050
65,2017-11-30,97.451,98.0,97.27,97.822,39030
66,2017-12-01,97.825,98.19,97.77,97.996,47690
67,2017-12-04,97.999,98.088,97.901,97.994,23760
68,2017-12-05,98.0,98.247,97.831,97.994,155440
69,2017-12-06,97.997,98.04,97.834,97.85,73620
70,2017-12-07,97.853,98.011,97.704,98.002,60460
71,2017-12-08,97.866,98.0,97.802,97.802,30210
72,2017-12-11,97.805,98.048,97.614,97.805,47710
73,2017-12-12,97.808,97.999,97.75,97.9,143720
74,2017-12-13,97.897,97.949,97.806,97.949,171610
75,2017-12-14,97.946,98.0,97.903,97.903,121320
76,2017-12-15,97.906,98.037,97.8,97.801,32700
77,2017-12-18,97.825,97.999,97.825,97.9,75440
78,2017-12-19,97.903,97.984,97.813,97.85,161740
79,2017-12-20,97.853,98.498,97.853,98.155,46920
80,2017-12-21,98.147,98.46,97.962,98.148,56570
81,2017-12-22,98.15,98.383,98.126,98.155,247610
82,2017-12-25,98.164,98.228,98.011,98.16,52450
83,2017-12-26,98.163,98.394,98.001,98.25,21210
84,2017-12-27,98.247,98.481,98.113,98.113,113040
85,2017-12-28,98.116,98.25,97.05,97.05,22890
86,2017-12-29,97.502,98.4,97.502,98.118,36600
87,2018-01-02,98.119,98.2,98.002,98.2,107040
88,2018-01-03,98.203,98.203,98.101,98.16,75440
89,2018-01-04,98.11,98.161,98.081,98.161,136400
90,2018-01-05,98.164,98.477,97.501,98.078,56460
91,2018-01-08,98.075,98.342,97.851,97.99,36520
92,2018-01-09,97.98,98.294,97.855,98.124,77510
93,2018-01-10,98.12,98.12,97.93,98.005,36110
94,2018-01-11,98.001,98.001,97.621,97.742,32700
95,2018-01-12,97.751,97.888,97.751,97.755,13020
96,2018-01-15,97.758,97.889,97.65,97.8,9710
97,2018-01-16,97.803,97.859,97.731,97.859,93520
98,2018-01-17,97.856,97.856,97.6,97.634,2210
99,2018-01-18,97.653,97.779,97.551,97.702,33230
100,2018-01-19,97.641,97.997,97.641,97.997,12600
101,2018-01-22,97.987,98.499,97.714,98.456,13800
102,2018-01-23,98.2,98.399,98.2,98.25,86050
103,2018-01-24,98.244,98.396,98.061,98.25,301330
104,2018-01-25,98.242,98.39,97.502,97.502,62840
