,date,open,high,low,close,volume
0,2021-04-28,0.992,1.013,0.986,1.012,173880700
1,2021-04-29,1.013,1.029,1.007,1.022,57980800
2,2021-04-30,1.015,1.023,1.008,1.013,15445800
3,2021-05-06,1.004,1.009,0.979,0.985,7392600
4,2021-05-07,0.984,0.992,0.968,0.968,7428100
5,2021-05-10,0.959,0.976,0.948,0.954,7030900
6,2021-05-11,0.952,0.99,0.952,0.988,8322100
7,2021-05-12,0.986,0.998,0.978,0.996,5019200
8,2021-05-13,0.996,1.001,0.981,1.0,6411500
9,2021-05-14,1.0,1.026,0.996,1.018,13633200
10,2021-05-17,1.009,1.047,1.009,1.038,14804300
11,2021-05-18,1.04,1.041,1.028,1.037,7172400
12,2021-05-19,1.037,1.041,1.027,1.033,5915400
13,2021-05-20,1.06,1.06,1.039,1.046,6375900
14,2021-05-21,1.047,1.056,1.032,1.037,6760900
15,2021-05-24,1.04,1.06,1.035,1.058,8050000
16,2021-05-25,1.041,1.098,1.041,1.097,6706200
17,2021-05-26,1.096,1.1,1.077,1.086,6177300
18,2021-05-27,1.086,1.109,1.075,1.095,11441700
19,2021-05-28,1.098,1.098,1.078,1.084,4461700
20,2021-05-31,1.084,1.086,1.067,1.086,5274800
21,2021-06-01,1.086,1.093,1.074,1.092,7941600
22,2021-06-02,1.093,1.093,1.072,1.077,5099500
23,2021-06-03,1.078,1.105,1.074,1.084,5478900
24,2021-06-04,1.087,1.102,1.078,1.096,5686600
25,2021-06-07,1.098,1.1,1.087,1.1,5009200
26,2021-06-08,1.1,1.1,1.041,1.051,8075000
27,2021-06-09,1.055,1.066,1.04,1.058,5136600
28,2021-06-10,1.057,1.074,1.057,1.07,3917400
